leaid,year,lea_name,phone,urban_centric_locale,number_of_schools,enrollment,teachers_total_fte,Unnamed: 8,rev_total,rev_fed_total,rev_state_total,rev_local_total,exp_total,exp_current_instruction_total,outlay_capital_total,payments_charter_schools,salaries_instruction,benefits_employee_total,debt_interest,debt_longterm_outstand_end_fy,debt_shortterm_outstand_end_fy,fiscal year,name of school district,secured_net taxable value,unsecured_net taxable value,assessed_value,adjusted_assessed_value
641160,2008,VISALIA UNIFIED,5597307300,12,37,27024,1176.5,,253767000,31829000,160841000,61097000,229261000,133078000,8547000,0,91532000,48335000,1626000,33390000,0,2008,Visalia Unified,9584279994,485099503,10069379497,10455953075.175385
641190,2008,VISTA UNIFIED,7607262170,21,35,26726,1277.199951171875,,243606000,29254000,119658000,94694000,251604000,136418000,36050000,0,89539000,47249000,6699000,143355000,0,2008,Vista Unified,13209995936,350708461,13560704397,14081313439.78052
641250,2008,WALNUT CREEK ELEMENTARY,9259446850,13,6,3236,158.60000610351562,,29985000,1845000,4934000,23206000,28254000,17305000,1562000,0,12276000,4270000,1355000,31585000,0,2008,Walnut Creek Elementary,9098330859,337599315,9435930174,9798184997.334747
641280,2008,WALNUT VALLEY UNIFIED,9095951261,21,15,14973,653.0999755859375,,138033000,8524000,94674000,34835000,145456000,73422000,16615000,0,53112000,25393000,5038000,121389000,0,2008,Walnut Valley Unified,7762588005,151648223,7914236228,8218071694.5344305
641400,2008,WASCO UNION ELEMENTARY,6617587100,32,5,3182,160.6999969482422,,32728000,5259000,22361000,5108000,29947000,16254000,918000,0,11342000,6234000,218000,6022000,0,2008,Wasco Union Elementary,873434251,42900261,916334512,951513512.9717056
641460,2008,WASHINGTON COLONY ELEMENTARY,5592330706,21,1,425,26.600000381469727,,4435000,706000,2995000,734000,4082000,2545000,15000,0,1756000,838000,21000,385000,0,2008,Washington Colony Elementary,119552250,1915161,121467411,126130666.73645923
641580,2008,WASHINGTON UNIFIED,9163757600,21,14,7345,358.8999938964844,,115340000,9863000,83367000,22110000,105646000,36036000,37552000,0,23962000,12143000,5127000,136944000,0,2008,Washington Unified,5162154773,52713547,5214868320,5415072345
641610,2008,WASHINGTON UNION ELEMENTARY,8314842166,22,3,949,43.900001525878906,,8869000,400000,1890000,6579000,8509000,4511000,113000,0,2855000,1916000,620000,14055000,0,2008,Washington Union Elementary,1916116220,32047087,1948163307,2022955250.305082
641640,2008,WASHINGTON UNION HIGH,5594858805,21,3,1173,59,,13885000,2306000,9347000,2232000,13476000,7514000,105000,0,4343000,2848000,76000,1300000,0,2008,Washington Union High,1055599648,100462842,1156062490,1200444888.4870956
641980,2008,WEED UNION ELEMENTARY,5309384797,33,3,337,21,,3932000,715000,1386000,1831000,3566000,2132000,17000,0,1380000,795000,0,0,0,2008,Reed Union Elementary,5538683274,58781982,5597465256,5812357561.267569
642000,2008,WEST COVINA UNIFIED,6269394600,21,15,13929,613.4000244140625,,99672000,10533000,71658000,17481000,96846000,48970000,4282000,0,33852000,15480000,1676000,34105000,0,2008,West Covina,4423293064,105711632,4529004696,4702877729
642120,2008,WESTSIDE UNION ELEMENTARY,6617220716,21,11,8833,345.6000061035156,,70003000,6644000,46913000,16446000,66042000,39803000,2998000,0,28195000,13883000,1496000,16785000,0,2008,Westside Union Elementary,7308106990,117606806,7425713796,7710794396.396606
642140,2008,WESTERN PLACER UNIFIED,9166456350,41,12,9459,445.7999877929688,,76747000,4316000,19453000,52978000,61743000,31947000,1800000,0,22162000,10185000,5210000,135277000,0,2008,Western Placer Unified,7596052387,141397892,7737450279,8034498755.641317
642180,2008,WESTMORLAND UNION ELEMENTARY,7603444364,42,1,364,28.799999237060547,,4394000,936000,2652000,806000,4065000,2326000,10000,0,1682000,638000,52000,1055000,0,2008,Westmorland Union Elementary,208146395,9861842,218008237,226377791.87415147
642210,2008,WESTSIDE ELEMENTARY,5598842494,42,1,254,14,,3588000,428000,2415000,745000,3262000,1724000,279000,0,1131000,491000,16000,821000,0,2008,Westside Elementary,184383690,21731693,206115383,214028359.2809157
642270,2008,WEST SIDE UNION ELEMENTARY,7074333923,41,1,163,8,,1461000,131000,268000,1062000,2047000,806000,639000,0,516000,237000,0,0,0,2008,Westside Union Elementary,7308106990,117606806,7425713796,7710794396.396606
642300,2008,WESTWOOD UNIFIED,5302562311,43,6,740,32.70000076293945,,4121000,599000,2550000,972000,3630000,1787000,16000,0,1031000,1091000,44000,965000,0,2008,Westwood Unified,140141404,6495815,146637219,152266768.91014156
642450,2008,WHITTIER CITY ELEMENTARY,5627893000,21,12,6640,297.79998779296875,,59658000,7995000,39187000,12476000,57345000,36473000,103000,0,24867000,10485000,1408000,36350000,0,2008,Whittier City Elementary,4637533496,175241297,4812774793,4997542044.3720045
642480,2008,WHITTIER UNION HIGH,5626988121,21,7,13670,525.5999755859375,,181430000,22832000,124168000,34430000,175621000,74265000,14369000,0,51635000,25991000,3914000,89787000,0,2008,Whittier Union High,16562612458,912716969,17475329427,18146224850.933685
642510,2008,WILLIAM S. HART UNION HIGH,6612590033,22,20,25629,1045.9000244140625,,218487000,14974000,148779000,54734000,219818000,105894000,20285000,0,76090000,44222000,8299000,262496000,0,2008,William S. Hart Union High,33148933315,1051994426,34200927741,35513935659.48149
642560,2008,WILLITS UNIFIED,7074595314,33,11,2013,112,,18329000,2508000,9152000,6669000,18340000,10777000,510000,0,7033000,4364000,73000,2736000,0,2008,Willits Unified,1021915373,37941970,1059857343,1100546329.4028895
642580,2008,LAYTONVILLE UNIFIED,7079846414,43,6,386,27.100000381469727,,5284000,700000,1982000,2602000,5505000,2825000,174000,0,1845000,1211000,129000,3582000,0,2008,Laytonville Unified,308932421,5561070,314493491,326567211.5470267
642930,2008,WINTERS JOINT UNIFIED,5307956100,31,5,1715,93,,16499000,1685000,10977000,3837000,16197000,8629000,1047000,0,6565000,2378000,300000,5585000,0,2008,Winters Joint Unified,149701135,1713760,151414895,157227864.68364725
642990,2008,WISEBURN ELEMENTARY,3106433025,21,6,2273,104.4000015258789,,23488000,1965000,11785000,9738000,32349000,11208000,11304000,0,8269000,3294000,1876000,79828000,0,2008,Wiseburn Elementary,4695732685,1068065363,5763798048,5985076035.979249
643020,2008,WOODLAKE UNION ELEMENTARY,5595648081,31,3,1558,74.80000305175781,,18190000,3074000,10856000,4260000,16898000,9428000,347000,0,5793000,3880000,162000,3203000,0,2008,Woodlake Union Elementary,385040280,10315657,395355937,410534047.95157415
643050,2008,WOODLAKE UNION HIGH,5595648081,31,3,883,41,,9744000,1273000,5276000,3195000,9629000,4132000,918000,0,2563000,1616000,244000,8053000,0,2008,Woodlake Union High,751515444,16076856,767592300,797060938.2690492
643080,2008,WOODLAND JOINT UNIFIED,5306620201,31,19,10578,527.5,,102511000,13124000,57573000,31814000,101299000,51341000,4621000,0,38000000,15309000,1725000,37668000,0,2008,Woodland Joint Unified,47362756,5513295,52876051,54906015.630982876
643140,2008,WOODSIDE ELEMENTARY,6508511571,41,1,458,37.09999847412109,,9650000,167000,733000,8750000,9435000,5777000,244000,0,3820000,1574000,1079000,17078000,0,2008,Woodside Elementary,2089317464,7186303,2096503767,2176990649.3455133
643200,2008,WRIGHT ELEMENTARY,7075420550,12,3,1409,75.5,,14721000,1425000,8534000,4762000,20586000,8483000,7772000,0,5292000,2638000,192000,6563000,0,2008,Wright Elementary,1812198043,91164209,1903362252,1976434237.869518
643380,2008,YREKA UNION ELEMENTARY,5308421168,32,5,1011,52.20000076293945,,9801000,1899000,5019000,2883000,8287000,5110000,39000,0,3251000,2042000,12000,0,0,2008,Eureka Union Elementary,5174391178,134197941,5308589119,5512391179.634039
643470,2008,YUBA CITY UNIFIED,5308225200,13,21,13286,681.7000122070312,,124904000,16275000,69243000,39386000,115273000,65908000,4849000,0,43203000,23201000,2986000,86749000,0,2008,Yuba City Unified,4006288780,438092459,4444381239,4615005492.346262
691014,2008,LAKE COUNTY OFFICE OF EDUCATION,7072624100,32,5,81,9.100000381469728,,20588000,5448000,10054000,5086000,20242000,4087000,560000,0,2211000,2166000,6000,0,0,2008,Placer County Office of Education,,,,
691022,2008,NAPA COUNTY OFFICE OF EDUCATION,7072536810,41,5,206,9.5,,42880000,16703000,12195000,13982000,37346000,9527000,457000,0,6394000,3462000,149000,3615000,0,2008,Nevada County Office of Education,,,,
691023,2008,NEVADA COUNTY OFFICE OF EDUCATION,5304786400,13,12,2980,202,,32719000,4564000,23156000,4999000,35783000,18420000,48000,0,11311000,3739000,6000,0,0,2008,Nevada County Office of Education,,,,
691025,2008,PLACER COUNTY OFFICE OF EDUCATION,5308898020,21,5,591,82.69999694824219,,106820000,20226000,43471000,43123000,89637000,19137000,747000,0,12798000,8087000,138000,2525000,0,2008,Placer County Office of Education,,,,
691063,2008,DEL NORTE COUNTY OFFICE OF EDUCATION,7074640200,33,9,682,41.29999923706055,,9981000,2215000,7303000,463000,8892000,5611000,141000,0,3696000,1537000,0,0,0,2008,Del Norte County Office of Education,2447878,65664,2513542,2610039.3983872198
691136,2008,AROMAS/SAN JUAN UNIFIED,8316234500,41,3,1255,52,,13648000,1581000,2689000,9378000,11758000,6439000,28000,0,4331000,2298000,93000,3295000,0,2008,Aromas-San Juan Unified,408989441,7960639,416950080,432957211.7596218
691137,2008,BIG OAK FLAT-GROVELAND UNIFIED,2098529175,42,5,460,33.400001525878906,,7355000,365000,1236000,5754000,9677000,3206000,3013000,0,2265000,1110000,12000,9665000,0,2008,Big Oak Flat-Groveland Unified,1086312915,49295888,1135608803,1179205963.9287312
600006,2009,ROSS VALLEY ELEMENTARY,4154542162,21,4,1990,112.19000244140624,,24322000,808000,8706000,14808000,18643000,11543000,230000,0,8244000,3062000,469000,18227000,0,2009,Ross Valley Elementary,4226276041,32899697,4259175738,4244032397.7011633
600013,2009,ROCKLIN UNIFIED,9166242428,21,20,11375,525.4699707,,95106000,5769000,37967000,51370000,98968000,49378000,9070000,0,37299000,15774000,7210000,178664000,0,2009,Rocklin Unified,7085427113,165679028,7251106141,7225325103.871978
600016,2009,UPLAND UNIFIED,9099851864,21,15,14404,636.8800048828125,,100283000,9104000,60141000,31038000,112912000,61085000,17838000,0,42572000,21574000,2555000,58232000,0,2009,Upland Unified,7022189599,237745412,7259935011,7234122583.154363
600017,2009,APPLE VALLEY UNIFIED,7602478001,22,18,15097,621.7000122070312,,113437000,16905000,72937000,23595000,110872000,67562000,781000,0,44776000,24832000,1660000,38977000,0,2009,Apple Valley Unified,6625574129,154933513,6780507642,6756399800.263024
600019,2009,DUBLIN UNIFIED,9258282551,21,9,4257,288.7300109863281,,59979000,1744000,18151000,40084000,96354000,31542000,38818000,0,24959000,7792000,5636000,176115000,0,2009,Dublin Unified,8333633368,218156134,8551789502,8521383933.749459
600020,2009,PLEASANTON UNIFIED,9254625500,13,16,14838,655.5499877929688,,168560000,18926000,70234000,79400000,157164000,81181000,1199000,0,63623000,18363000,4935000,119842000,0,2009,Pleasanton Unified,16834935768,695870688,17530806456,17468476328.246006
600021,2009,SUNOL GLEN UNIFIED,9258622026,41,1,250,13,,2433000,101000,867000,1465000,2190000,1310000,37000,0,997000,293000,27000,1933000,0,2009,Sunol Glen Unified,305234785,68420677,373655462,372326944
600022,2009,MENDOTA UNIFIED,5596554942,41,7,2603,143.1999969482422,,29805000,4999000,19604000,5202000,29169000,15119000,2403000,0,9538000,5590000,930000,4324000,0,2009,Mendota Unified,503003668,30533288,533536956,531639985.3
600025,2009,MANHATTAN BEACH UNIFIED,3103187345,21,7,6612,288.8800048828125,,63921000,2359000,16839000,44723000,59331000,33393000,516000,0,23362000,9795000,2379000,58356000,0,2009,Manhattan Beach Unified,11374395924,268571876,11642967800,11601571662.735518
600026,2009,EL TEJON UNIFIED,6612486247,41,5,1245,53.27999877929688,,11682000,1150000,5804000,4728000,12137000,5859000,846000,0,4041000,2417000,404000,6805000,0,2009,El Tejon Unified,864066899,5969128,870036027,866942646.3931468
600028,2009,TEMECULA VALLEY UNIFIED,9516762661,13,33,30184,1344.5999755859375,,230582000,16355000,116900000,97327000,225513000,151889000,4080000,0,114053000,43538000,1882000,37565000,0,2009,Temecula Valley Unified,16327396684,470713493,16798110177,16738385123.50711
600029,2009,MURRIETA VALLEY UNIFIED,9516961600,22,20,22274,909.5100098,,233069000,13339000,142338000,77392000,189511000,106506000,13376000,0,79486000,34158000,7129000,265717000,0,2009,Murrieta Valley Unified,12090617065,190986449,12281603514,12237936731.301048
600032,2009,REDONDO BEACH UNIFIED,3103795449,21,13,8398,361.6199951171875,,83107000,6511000,26986000,49610000,126362000,44741000,42745000,0,31673000,13467000,4600000,121371000,0,2009,Redondo Beach Unified,11191630591,438739841,11630370432,11589019084.207056
600033,2009,DOS PALOS ORO LOMA JOINT UNIFIED,2093920200,32,7,2502,121,,26441000,3844000,15160000,7437000,25570000,12600000,2899000,0,8744000,4632000,114000,4316000,0,2009,Dos Palos Oro Loma Joint Unified,,,,
600034,2009,WINDSOR UNIFIED,7078377701,21,10,5720,269.4599914550781,,54083000,4449000,19957000,29677000,59223000,29730000,9661000,0,18701000,10689000,2443000,54299000,0,2009,Windsor Unified,3827097528,87709277,3914806805,3900887855.583709
600035,2009,FARMERSVILLE UNIFIED,5595922010,22,6,2581,140.52999877929688,,25082000,4825000,17402000,2855000,25534000,16084000,208000,0,9907000,5414000,236000,4354000,0,2009,Farmersville Unified,326863746,10821727,337685473,336484844.9099241
600036,2009,NATOMAS UNIFIED,9165675400,41,19,12382,578.6400146484375,,104223000,7676000,55699000,40848000,106259000,55552000,4979000,0,38672000,17399000,11195000,193884000,0,2009,Natomas Unified,8522006849,820516935,9342523784,9309306789.535826
600037,2009,FERNDALE UNIFIED,7077865900,42,2,502,27.299999237060547,,4453000,305000,2313000,1835000,4599000,2840000,100000,0,1843000,1040000,56000,1000000,0,2009,Ferndale Unified,289854499,13296521,303151020,302073177.8680491
600039,2009,DELHI UNIFIED,2096562000,23,7,2665,133.5,,22252000,3368000,16089000,2795000,24542000,13749000,924000,0,9546000,4372000,241000,3360000,0,2009,Delhi Unified,613539009,27299299,640838308,638559831.3248085
600040,2009,RIVERDALE JOINT UNIFIED,5598678200,42,5,1515,77.63999938964844,,15201000,2044000,8438000,4719000,15119000,8048000,606000,0,5247000,3121000,69000,2909000,0,2009,Riverdale Joint Unified,,54423785,,
600043,2009,SCOTTS VALLEY UNIFIED,8314381820,22,4,2566,109.12999725341795,,19520000,1079000,5981000,12460000,21249000,11884000,1962000,0,7347000,3867000,915000,22260000,0,2009,Scotts Valley Unified,3169524336,106018276,3275542612,3263896542.5517955
600044,2009,HEALDSBURG UNIFIED,7074313488,21,4,2048,98.40000153,,22790000,2395000,2987000,17408000,21531000,12580000,212000,0,7470000,4816000,1114000,38492000,0,2009,Healdsburg Unified,3419513058,160479306,3579992364,3567263834.826713
600045,2009,ORLAND JOINT UNIFIED,5308651200,32,7,2218,108.8499984741211,,19735000,2661000,10829000,6245000,24849000,12018000,4888000,0,7633000,4904000,378000,8610000,0,2009,Orland Joint Unified,973451835,,,
600046,2009,GONZALES UNIFIED,8316750100,32,4,2322,107.5,,22992000,3817000,11780000,7395000,23617000,11620000,3058000,0,8301000,4669000,163000,7279000,0,2009,Gonzales Unified,729348962,69132363,798481325,795642354.4642552
600047,2009,TRACY JOINT UNIFIED,2098303200,23,26,17494,816.6500244140625,,138136000,12482000,84022000,41632000,168933000,83636000,31257000,0,59751000,26599000,2808000,60330000,0,2009,Tracy Joint Unified,13032759867,558673449,13591433316,13543109482.349083
600048,2009,PASO ROBLES JOINT UNIFIED,8052382222,13,13,6837,324.04998779296875,,60860000,7000000,17775000,36085000,71226000,35654000,9378000,0,25834000,12332000,670000,21440000,0,2009,Paso Robles Joint Unified,6799951907,212097081,7012048988,6987117909.653075
600062,2009,OAKDALE JOINT UNIFIED,2098484884,31,9,5342,238.69000244140625,,48898000,3656000,26630000,18612000,49039000,25586000,6532000,0,17819000,7493000,805000,17825000,0,2009,Oakdale Joint,49784764,259449,50044213,49866282.66932941
600068,2009,GOLDEN VALLEY UNIFIED,5596457500,41,8,1939,93,,15582000,1132000,9730000,4720000,20984000,9048000,4412000,0,6435000,3684000,254000,50172000,0,2009,Golden Valley Unified,1133689657,,,
600069,2009,VALLEY CENTER-PAUMA UNIFIED,7607490464,42,9,4257,201,,40832000,4892000,13737000,22203000,40095000,23085000,1025000,0,16930000,7599000,487000,2174000,0,2009,Valley Center-Pauma Unified,3102431152,26946058,3129377210,3118250826
600153,2009,ALHAMBRA UNIFIED,6269433000,21,18,18541,724.5300293,,186455000,28409000,116021000,42025000,244702000,94677000,65037000,0,63171000,44276000,4308000,153967000,0,2009,Alhambra Unified,9481189641,250390533,9731580174,9696979904.068546
600159,2009,SCOTT VALLEY UNIFIED,5304682727,43,10,714,44.869998931884766,,8299000,971000,4107000,3221000,8463000,4683000,83000,0,3153000,1523000,14000,0,0,2009,Scotts Valley Unified,3169524336,106018276,3275542612,3263896542.5517955
601332,2009,TWIN RIVERS UNIFIED,9165661786,21,59,31213,1484.4000244140625,,291315000,46207000,183419000,61689000,301457000,148513000,19323000,0,102676000,53282000,9820000,370486000,0,2009,Twin Rivers Unified,70141056,571370,70712426,70461010.60975899
601620,2009,ABC UNIFIED,5629265566,13,31,20750,896.2100219726562,,186158000,21264000,135749000,29145000,187882000,104649000,3016000,0,76438000,38055000,1475000,64105000,0,2009,ABC Unified,11247095094,615420712,11862515806,11820339073.998108
601650,2009,ACALANES UNION HIGH,9252803900,13,6,5654,280.3999938964844,,63352000,2074000,5738000,55540000,66721000,31531000,6509000,0,22540000,12169000,3743000,131753000,0,2009,Acalanes Union High,22891104048,487157580,23378261628,23295141091.725937
601710,2009,ADELANTO ELEMENTARY,7602468691,41,14,8428,335,,65653000,8085000,47619000,9949000,72654000,35677000,10339000,0,25270000,12664000,1405000,36687000,0,2009,Adelanto Elementary,4556242273,121682885,4677925158,4661292969.774457
601770,2009,ALAMEDA CITY UNIFIED,5103377000,21,20,10471,513.8200073242188,,97397000,8767000,45986000,42644000,98269000,58773000,5329000,0,42754000,14758000,1330000,60304000,0,2009,Alameda City Unified,8634020208,500616553,9134636761,9102158901.083601
601860,2009,ALBANY CITY UNIFIED,5105583750,21,6,3807,191.8999938964844,,57096000,8306000,31222000,17568000,55926000,22512000,836000,0,15222000,8377000,1675000,30903000,0,2009,Albany City Unified,1779506136,26601236,1806107372,1799685824.6789033
601980,2009,ALLENSWORTH ELEMENTARY,6618492401,42,1,73,4,,1379000,179000,1115000,85000,1546000,526000,333000,0,331000,336000,2000,0,0,2009,Allensworth Elementary,,17939,,
602100,2009,ALPINE UNION ELEMENTARY,6194453236,21,7,2009,97.23999786376952,,16814000,1488000,8499000,6827000,17781000,11315000,290000,0,8001000,3788000,238000,9560000,0,2009,Alpine Union Elementary,2293959329,34929716,2328889045,2320608767
602160,2009,ALTA LOMA ELEMENTARY,9094845151,21,10,6456,264.5,,50160000,3672000,32709000,13779000,48981000,31555000,180000,0,22866000,10165000,278000,19345000,0,2009,Alta Loma Elementary,5399842470,78780663,5478623133,5459144093.022407
602220,2009,ALTA VISTA ELEMENTARY,5597825700,23,1,513,27,,5168000,1097000,3618000,453000,5046000,2818000,402000,0,1714000,1078000,5000,0,0,2009,Alta Vista Elementary,,,,
602310,2009,ALUM ROCK UNION ELEMENTARY,4089286800,11,28,13372,661.2000122070312,,126606000,17633000,65615000,43358000,143228000,77438000,22147000,0,51324000,23553000,3667000,111722000,0,2009,Alum Rock Union Elementary,7126441587,,,
602430,2009,ALVORD UNIFIED,9515095070,11,22,20026,857,,169491000,22484000,105733000,41274000,222694000,101842000,53654000,0,69432000,33257000,7563000,217387000,0,2009,Alvord Unified,5066104754,150813211,5216917965,5198369408
602450,2009,AMADOR COUNTY UNIFIED,2092231750,41,12,4227,189.92999267578125,,32790000,2082000,5081000,25627000,33524000,18087000,367000,0,13021000,5933000,501000,10400000,0,2009,Amador County Unified,4572743030,132931232,4705674262,4688943412.871336
602630,2009,ANAHEIM UNION HIGH,7149993511,11,22,33187,1376.800048828125,,350084000,63330000,204826000,81928000,343531000,179309000,7427000,0,131405000,62441000,6044000,160413000,0,2009,Anaheim Union High,31665349308,1586232413,33251581721,33133356963.805046
602670,2009,WEST SONOMA COUNTY UNION HIGH,7078246403,21,7,2344,108.9800033569336,,23225000,2136000,8360000,12729000,22674000,14082000,118000,0,8537000,5787000,426000,10426000,0,2009,West Sonoma County Union High,6961937680,141478076,7103415756,7078159826.521087
602820,2009,ANTELOPE VALLEY UNION HIGH,6619487655,21,14,26255,1110.050048828125,,221853000,23071000,151451000,47331000,238644000,132797000,16692000,0,91630000,48175000,4424000,95630000,0,2009,Antelope Valley Union High,2236943,209491,2446434,2437735.7952628457
602970,2009,ARCADIA UNIFIED,6268218300,13,11,9807,424.2900085449219,,93059000,5862000,33991000,53206000,127207000,51297000,40321000,0,38743000,13881000,6123000,198280000,0,2009,Arcadia Unified,9248903139,158059899,9406963038,9373516932
603000,2009,ARCATA ELEMENTARY,7078220351,33,5,931,52.369998931884766,,8076000,966000,4506000,2604000,8474000,5107000,190000,0,3438000,1836000,164000,4308000,0,2009,Arcata Elementary,755057854,29149590,784207444,781419223.7
603090,2009,ARENA UNION ELEMENTARY,7078822803,43,2,322,24.209999084472656,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2009,Arena Union Elementary,647717364,12599135,660316499,657968768.3440236
603180,2009,ARMONA UNION ELEMENTARY,5595835000,13,5,1902,81.16999816894531,,14428000,1844000,10821000,1763000,13958000,5996000,110000,0,3768000,2453000,113000,2495000,0,2009,Armona Union Elementary,497154836,20357490,517512326,515672330.24881727
603270,2009,ARVIN UNION ELEMENTARY,6618546500,31,4,3348,152,,30762000,4239000,20656000,5867000,30053000,17207000,952000,0,11234000,6786000,424000,11838000,0,2009,Arvin Union Elementary,,15898490,,
603300,2009,ATASCADERO UNIFIED,8054624200,23,12,4874,218.47999572753903,,40685000,3553000,11626000,25506000,44343000,21777000,5047000,0,16458000,7318000,362000,6610000,0,2009,Atascadero Unified,4092740999,77101083,4169842082,4155016364.1793528
603420,2009,ATWATER ELEMENTARY,2093576100,22,9,4467,190,,36448000,6354000,26700000,3394000,35525000,21825000,465000,0,16943000,5432000,409000,9137000,0,2009,Atwater Elementary,1804407108,117269333,1921676441,1914843992.1694229
603600,2009,AZUSA UNIFIED,6269676211,21,18,10893,513.9799805,,102252000,16871000,72021000,13360000,107396000,59354000,920000,0,42591000,16947000,1736000,93508000,0,2009,Azusa Unified,,120721710,,
603610,2009,BAKER VALLEY UNIFIED,7607334567,43,3,238,16,,2968000,288000,1894000,786000,2891000,1413000,11000,0,847000,735000,43000,635000,0,2009,Baker Valley Unified,147183973,16053312,163237285,162656900.92846274
603690,2009,BALDWIN PARK UNIFIED,6269623311,21,23,20379,923.7600098,,175414000,26866000,120002000,28546000,176156000,90197000,9593000,0,63204000,32918000,2748000,104769000,0,2009,Baldwin Park Unified,3859966223,181427385,4041393608,4027024583.9323936
603840,2009,BANNING UNIFIED,9519220200,21,9,4710,238,,45049000,7660000,23654000,13735000,60451000,25642000,13665000,0,16525000,9302000,2228000,51103000,0,2009,Banning Unified,1832057376,298923941,2130981317,2123404692.498249
603870,2009,BANTA ELEMENTARY,2098350171,41,1,290,14,,2426000,251000,1138000,1037000,2633000,1412000,16000,0,1018000,551000,36000,735000,0,2009,Banta Elementary,367874740,24253496,392128236,390734038.6989704
604020,2009,BARSTOW UNIFIED,7602556000,32,13,6490,296,,53530000,8041000,36088000,9401000,52226000,30592000,328000,0,21272000,8802000,477000,12621000,0,2009,Barstow Unified,1885307580,142980509,2028288089,2021076586.4358377
604110,2009,BASSETT UNIFIED,6269313000,21,7,4839,205.1999969482422,,59982000,9511000,42404000,8067000,65867000,27557000,8476000,0,18248000,10926000,1632000,42609000,0,2009,Bassett Unified,1562120070,120664875,1682784945,1676801865.9632425
604230,2009,BEAR VALLEY UNIFIED,9098664631,32,7,2897,126.88999938964844,,28545000,3065000,10772000,14708000,31718000,14221000,6999000,0,10381000,4729000,966000,10718000,0,2009,Bear Valley Unified,5662541635,71531497,5734073132,5713685849.089465
604260,2009,BEARDSLEY ELEMENTARY,6613938550,21,4,1745,84.87000274658203,,16478000,3093000,8191000,5194000,17369000,8363000,466000,0,5641000,3219000,594000,15905000,0,2009,Beardsley Elementary,1350116140,251563416,1601679556,1595984844.1453567
604290,2009,BEAUMONT UNIFIED,9518451631,41,11,8306,314.3299865722656,,69965000,8226000,36461000,25278000,62840000,34219000,2705000,0,23855000,11966000,896000,39604000,0,2009,Beaumont Unified,3921536853,49890414,3971427267,3957307005.645276
604380,2009,BELLEVUE UNION ELEMENTARY,7075425197,21,4,1762,94.59999847,,17933000,2916000,6095000,8922000,19861000,10685000,3702000,0,6295000,2439000,577000,19426000,0,2009,Bellevue Union Elementary,2601056087,122923503,2723979590,2714294582.281153
604620,2009,BENICIA UNIFIED,7077478300,22,8,4993,231,,42805000,2540000,20654000,19611000,39298000,24380000,42000,0,18140000,6758000,1666000,57562000,0,2009,Benicia Unified,4821454471,231648908,5053103379,5035137258.618846
604650,2009,BENNETT VALLEY UNION ELEMENTARY,7075422201,12,2,957,45.09999847412109,,7031000,456000,2326000,4249000,6800000,4971000,6000,0,3428000,1210000,66000,1972000,0,2009,Bennett Valley Union Elementary,1505472437,21455743,1526928180,1521499243.8715084
604740,2009,BERKELEY UNIFIED,5106446206,12,16,9204,520.4000244140625,,144228000,11614000,46890000,85724000,140649000,67980000,8735000,0,43847000,24513000,9087000,214510000,0,2009,Berkeley Unified,11799021499,671873704,12470895203,12426555400.76896
604800,2009,BERRYESSA UNION ELEMENTARY,4089231880,11,14,8327,373.5,,67727000,6489000,24127000,37111000,74281000,42681000,7588000,0,29787000,15780000,1713000,41458000,0,2009,Berryessa Union Elementary,8395920635,224155731,8620076366,8589428006.354339
604830,2009,BEVERLY HILLS UNIFIED,3105515100,21,6,4943,275.8999938964844,,68382000,2396000,6892000,59094000,66620000,36458000,4136000,0,25632000,10146000,4522000,126458000,0,2009,Beverly Hills Unified,19733471777,567767316,20301239093,20229058795.453106
604860,2009,BIG CREEK ELEMENTARY,5598933314,43,1,38,3.430000066757202,,1191000,157000,271000,763000,1056000,396000,107000,0,276000,161000,35000,1321000,0,2009,Big Creek Elementary,,36283976,,
604950,2009,BIG PINE UNIFIED,7609382005,43,4,169,15,,3569000,557000,714000,2298000,3372000,1672000,360000,0,1047000,637000,83000,2377000,0,2009,Big Pine Unified,408709171,1964509,410673680,409213545.06531525
605130,2009,BISHOP UNION ELEMENTARY,7608721060,33,5,1244,60.25999832,,12045000,2649000,2388000,7008000,16861000,7029000,2116000,0,4464000,2598000,160000,5290000,0,2009,Bishop Union Elementary,1649181999,41840024,1691022023,1685009657.3399858
605160,2009,BISHOP JOINT UNION HIGH,7608723680,43,4,713,27.100000381469727,,6794000,546000,1436000,4812000,9759000,3441000,446000,0,2230000,1490000,140000,3360000,0,2009,Bishop Joint Union High,1909836144,42828411,1952664555,1945721929.087192
605240,2009,BLACK OAK MINE UNIFIED,5303338300,42,6,1644,80.75,,19554000,1961000,10315000,7278000,19731000,8035000,4728000,0,5594000,3057000,320000,11696000,0,2009,Black Oak Mine Unified,1524391705,21206486,1545598191,1540102874.344536
605610,2009,BONITA UNIFIED,9099718200,21,14,9927,407.75,,86812000,7268000,58404000,21140000,93639000,48564000,10961000,0,33730000,14015000,3296000,89223000,0,2009,Bonita Unified,6847789723,303208864,7150998587,7125573478.542209
605640,2009,BONNY DOON UNION ELEMENTARY,8314272300,41,1,117,7.5,,1869000,110000,208000,1551000,1627000,832000,0,0,552000,257000,35000,660000,0,2009,Bonny Doon Union Elementary,481594321,10139200,491733521,489985180.8274142
