leaid,year,lea_name,phone,urban_centric_locale,number_of_schools,enrollment,teachers_total_fte,,rev_total,rev_fed_total,rev_state_total,rev_local_total,exp_total,exp_current_instruction_total,outlay_capital_total,payments_charter_schools,salaries_instruction,benefits_employee_total,debt_interest,debt_longterm_outstand_end_fy,debt_shortterm_outstand_end_fy,fiscal year,name of school district,secured_net taxable value,unsecured_net taxable value
619230,2009,JUNCTION ELEMENTARY,5304693373,43,1,0,1,,287000,73000,153000,61000,298000,128000,19000,0,85000,55000,0,0,0,2009,Junction Elementary,443878242,19595481
619260,2009,JURUPA UNIFIED,9513604160,21,25,20425,895.7999877929688,,167425000,19562000,110799000,37064000,170867000,105614000,1863000,0,79774000,31424000,2961000,65273000,0,2009,Jurupa Unified,4458139210,186600695
619320,2009,KELSEYVILLE UNIFIED,7072791511,32,9,1746,83.5,,14861000,2213000,6322000,6326000,15181000,8458000,147000,0,5316000,4418000,160000,2350000,0,2009,Kelseyville Unified,1406769792,22564605
619380,2009,KENTFIELD ELEMENTARY,4154585130,21,2,1088,68.5,,14344000,277000,1308000,12759000,13239000,8623000,276000,0,6361000,2489000,952000,20165000,0,2009,Kentfield Elementary,3221048643,47211358
619490,2009,KERMAN UNIFIED,5598465383,31,7,4504,190.6000061035156,,37851000,5451000,25403000,6997000,39323000,20688000,3148000,0,13954000,7547000,301000,10335000,0,2009,Kerman Unified,1078276781,31953805
619590,2009,KERNVILLE UNION ELEMENTARY,7603793651,41,3,853,36.5,,10348000,1443000,5898000,3007000,11210000,3965000,2805000,0,2710000,2018000,191000,9188000,0,2009,Kernville Union Elementary,861273831,36352263
619650,2009,KING CITY JOINT UNION HIGH,8313850606,33,4,2075,76.94999694824219,,18882000,1468000,9556000,7858000,21463000,11643000,807000,0,7758000,5345000,793000,27895000,0,2009,King City Joint Union High,3219296241,170589746
619700,2009,KINGS CANYON JOINT UNIFIED,5593057005,32,20,9798,441.8900146484375,,93389000,14079000,62951000,16359000,102671000,46890000,13481000,0,31645000,18895000,2086000,91983000,0,2009,Kings Canyon Joint Unified,2190531417,84144614
619740,2009,KINGS RIVER UNION ELEMENTARY,5598977209,41,1,506,25,,4676000,947000,3089000,640000,5266000,2591000,511000,0,1791000,1142000,62000,1679000,0,2009,Kings River Union Elementary,177210929,5383090
619830,2009,KINGSBURG JOINT UNION HIGH,5598977721,32,2,1196,53,,11070000,782000,5626000,4662000,11094000,5965000,1327000,0,3900000,2303000,403000,13922000,0,2009,Kingsburg Joint Union High,1366031511,50754738
620070,2009,KONOCTI UNIFIED,7079946475,32,10,3101,157.16000366210938,,31468000,5734000,16691000,9043000,31332000,15815000,1909000,0,9661000,8018000,650000,0,0,2009,Konocti Unified,1828171435,49163025
620130,2009,LA CANADA UNIFIED,8189528300,21,5,4018,164.44000244140625,,37156000,2050000,13078000,22028000,42382000,21544000,6381000,0,14629000,7092000,2149000,33243000,0,2009,La Canada Unified,4898732167,59272507
620190,2009,LA HABRA CITY ELEMENTARY,5626902305,21,9,5574,211.1699981689453,,46696000,7229000,22360000,17107000,47803000,28506000,695000,0,20048000,9249000,450000,13932000,0,2009,La Habra City Elementary,4429557606,190146055
620220,2009,LA HONDA-PESCADERO UNIFIED,6508790286,42,4,357,23.84000015258789,,4880000,279000,824000,3777000,5642000,2339000,1157000,0,1642000,851000,268000,6182000,0,2009,La Honda-Pescadero Unified,592253899,5932322
620250,2009,LA MESA-SPRING VALLEY,6196685700,21,22,12544,595.5700073242188,,107813000,12838000,55712000,39263000,113127000,67316000,2414000,0,49503000,21948000,1290000,43724000,0,2009,La Mesa-Spring Valley,10591872874,217615250
620310,2009,LAFAYETTE ELEMENTARY,9259273500,21,5,3205,166.47000122070312,,28546000,1457000,6226000,20863000,29102000,18895000,817000,0,13741000,5844000,1024000,21285000,0,2009,Lafayette Elementary,5947609260,55318960
620370,2009,LAGUNA BEACH UNIFIED,9494977700,21,4,2920,144,,47683000,1681000,3095000,42907000,42576000,25099000,716000,0,16667000,8551000,1617000,33600000,0,2009,Laguna Beach Unified,13175654105,147429428
620490,2009,LAGUNITA ELEMENTARY,8314492800,41,1,88,4.800000190734863,,684000,28000,473000,183000,619000,381000,13000,0,263000,143000,0,0,0,2009,Lagunitas Elementary,560695240,4453374
620520,2009,LAGUNITAS ELEMENTARY,4154884118,41,2,282,15.300000190734863,,4056000,203000,788000,3065000,3790000,1786000,540000,0,1313000,524000,45000,2159000,0,2009,Lagunitas Elementary,560695240,4453374
620640,2009,LAKE TAHOE UNIFIED,5305412850,32,8,3965,198.7100067138672,,47641000,3931000,23688000,20022000,59653000,21635000,22876000,0,15427000,7449000,1551000,73771000,0,2009,Lake Tahoe Unified,6208063445,128173066
620670,2009,LAKEPORT UNIFIED,7072623000,32,6,1555,80.55999755859375,,13835000,2041000,6164000,5630000,13723000,8418000,151000,0,5150000,3586000,237000,7345000,0,2009,Lakeport Unified,1084629545,41110925
620850,2009,LAMONT ELEMENTARY,6618450751,21,4,2727,116,,27740000,5647000,18537000,3556000,26215000,15436000,321000,0,9857000,5641000,111000,3645000,0,2009,Lamont Elementary,425264420,8431412
620880,2009,LANCASTER ELEMENTARY,6619484661,21,20,-9,598,,123731000,18834000,80925000,23972000,134539000,71506000,12994000,0,49247000,30191000,1213000,54505000,0,2009,Lancaster Elementary,8109570238,283243641
621000,2009,LAS VIRGENES UNIFIED,8188804000,22,15,11644,475.8999938964844,,106274000,7228000,35654000,63392000,115716000,60691000,16412000,0,44259000,19268000,4017000,192627000,0,2009,Las Virgenes Unified,17104043507,484366791
621210,2009,LAWNDALE ELEMENTARY,3109731300,21,10,6310,291.70001220703125,,59274000,9354000,41009000,8911000,62566000,38378000,1600000,0,26811000,9771000,957000,19470000,0,2009,Lawndale Elementary,2992138564,62869777
621270,2009,LE GRAND UNION HIGH,2093899403,42,2,569,25.920000076293945,,6167000,1112000,3678000,1377000,6700000,3353000,639000,0,2164000,1442000,145000,2559000,0,2009,Le Grand Union High,564726723,34025003
621400,2009,LEMOORE UNION HIGH,5599246610,41,5,2227,106.63999938964844,,21039000,1708000,13629000,5702000,19782000,10279000,230000,0,7384000,3775000,192000,7413000,0,2009,Lemoore Union High,2091494450,89105806
621570,2009,LIBERTY ELEMENTARY,5596861675,41,1,263,12,,1992000,129000,1355000,508000,2302000,1172000,347000,0,759000,417000,78000,1040000,0,2009,Liberty Elementary,265765638,2504166
621600,2009,LIBERTY UNION HIGH,9256342166,22,5,7290,306.6499938964844,,63422000,3805000,25231000,34386000,62335000,32857000,2210000,0,23293000,11902000,2249000,56503000,0,2009,Liberty Union High,14013245489,362223417
621690,2009,LINCOLN UNIFIED,2099538700,11,11,8783,382.3200073242188,,71688000,8814000,41053000,21821000,75371000,42868000,6728000,0,29837000,13432000,2756000,52944000,0,2009,Lincoln Unified,3769957714,149419056
621810,2009,LINDEN UNIFIED,2098873894,41,8,2422,120.41000366210938,,20842000,2053000,12075000,6714000,20073000,12017000,249000,0,8755000,3932000,591000,20887000,0,2009,Linden Unified,1330035038,82649361
621870,2009,LINDSAY UNIFIED,5595625111,31,7,4107,182.5,,43936000,8793000,27676000,7467000,70046000,21916000,29722000,0,13823000,8804000,843000,22802000,0,2009,Lindsay Unified,554947941,43135814
621930,2009,LITTLE LAKE CITY ELEMENTARY,5628688241,21,9,4924,233.1999969482422,,42724000,5347000,27327000,10050000,42074000,27047000,566000,0,18302000,8208000,1048000,31539000,0,2009,Little Lake City Elementary,2836673308,186170312
621990,2009,LIVE OAK ELEMENTARY,8314756333,22,7,2089,107.9499969482422,,22820000,1984000,12133000,8703000,22974000,11045000,3101000,0,7430000,4447000,826000,30845000,0,2009,Live Oak Elementary,2780756207,73213236
622050,2009,LIVE OAK UNIFIED,5306955400,31,6,1883,88.79000091552734,,15598000,2300000,9065000,4233000,20305000,9002000,4615000,0,6095000,3083000,376000,9065000,0,2009,Live Oak Unified,691071792,25500656
622110,2009,LIVERMORE VALLEY JOINT UNIFIED,9256063200,23,19,12989,639,,120383000,8768000,48908000,62707000,118136000,67721000,1374000,0,47519000,22622000,6775000,107170000,0,2009,Livermore Valley Joint Unified,14259895660,695338850
622170,2009,LIVINGSTON UNION ELEMENTARY,2093945400,31,4,2502,132,,22622000,3385000,16314000,2923000,26625000,16429000,271000,0,11420000,5154000,389000,4175000,0,2009,Livingston Union Elementary,1122293014,32403677
622230,2009,LODI UNIFIED,2093317000,11,55,30942,1405.459961,,291407000,35300000,192943000,63164000,279149000,158504000,14812000,0,111396000,51606000,9263000,189808000,0,2009,Lodi Unified,14105728620,483845265
622320,2009,LOLETA UNION ELEMENTARY,7077335705,42,2,302,17.65999984741211,,3372000,386000,1870000,1116000,3213000,1965000,107000,0,953000,521000,22000,436000,0,2009,Loleta Union Elementary,124719076,1803783
622350,2009,LOMA PRIETA JOINT UNION ELEMENTARY,4083531101,41,2,410,21,,4751000,305000,565000,3881000,4787000,2406000,28000,0,1737000,813000,162000,5430000,0,2009,Loma Prieta Joint Union Elementary,188439353,2732576
622380,2009,LAS LOMITAS ELEMENTARY,6508542880,21,2,1239,81.26000213623047,,19632000,462000,1720000,17450000,17847000,11271000,330000,0,8175000,3151000,750000,20757000,0,2009,Las Lomitas Elementary,4843398746,145595058
622410,2009,LOMPOC UNIFIED,8057423300,23,17,10125,450.5899963378906,,83878000,13354000,50653000,19871000,83010000,47197000,4111000,0,35524000,14641000,1623000,33710000,0,2009,Lompoc Unified,3795097761,436795539
622500,2009,LONG BEACH UNIFIED,5629978000,11,92,86283,3917.199951171875,,857736000,159039000,553846000,144851000,855080000,483542000,20837000,105000,329595000,189215000,20977000,542021000,0,2009,Long Beach Unified,48524556374,2880243463
622560,2009,LOOMIS UNION ELEMENTARY,9166521800,41,8,2505,113.75,,17753000,1100000,5652000,11001000,19313000,11134000,553000,0,7934000,3299000,1164000,12055000,0,2009,Loomis Union Elementary,2870033642,42583129
622620,2009,LOS ALAMOS ELEMENTARY,8053442401,42,1,226,8.920000076293945,,2034000,283000,704000,1047000,1917000,1074000,7000,0,787000,276000,85000,1565000,0,2009,Los Alamos Elementary,415327255,9908406
622650,2009,LOS ALTOS ELEMENTARY,6509471150,21,9,4293,204.3699951171875,,54679000,1933000,4636000,48110000,48109000,28583000,1026000,0,19608000,9235000,4291000,90819000,0,2009,Los Altos Elementary,13401112710,153257150
622710,2009,LOS ANGELES UNIFIED,2132411000,11,894,670746,31315.93945,,8436592000,1354563000,5164166000,1917863000,9735797000,4331872000,1825290000,0,2717313000,1761213000,439446000,12326136000,0,2009,Los Angeles Unified,4.05835E+11,20689886896
622740,2009,LOS BANOS UNIFIED,2098263801,32,13,9027,398,,80153000,8148000,52369000,19636000,107982000,41241000,38051000,0,28779000,15903000,2633000,52526000,0,2009,Los Banos Unified,3829508982,152519053
622800,2009,LOS GATOS-SARATOGA JOINT UNION HIGH,4083542520,21,3,3170,146.5,,46902000,1283000,4622000,40997000,46462000,22042000,4883000,0,16085000,7319000,3383000,69882000,0,2009,Los Gatos-Saratoga Joint Union High,15700595087,193449285
622830,2009,LOS GATOS UNION ELEMENTARY,4083352000,21,5,2930,128.8000030517578,,34251000,1079000,2614000,30558000,34186000,19107000,1973000,0,12781000,5327000,4062000,85445000,0,2009,Los Gatos Union Elementary,7792468727,167009493
622890,2009,LOS NIETOS,5626920271,21,4,2033,97.59999847,,17851000,2711000,11172000,3968000,19776000,11487000,2354000,0,7651000,3359000,0,0,0,2009,Los Nietos Unified,1731082303,
622920,2009,LOS OLIVOS ELEMENTARY,8056884025,32,2,730,39.20000076293945,,5449000,104000,3484000,1861000,6225000,2991000,1293000,0,2202000,787000,221000,4600000,0,2009,Los Olivos Elementary,521285605,21706117
622950,2009,LOST HILLS UNION ELEMENTARY,6617972626,43,2,573,32.29999923706055,,7528000,1402000,1986000,4140000,9520000,2862000,3483000,0,1856000,1163000,454000,9174000,0,2009,Lost Hills Union Elementary,2651975312,31994027
623040,2009,LUCERNE ELEMENTARY,7072745578,32,1,256,13,,2342000,327000,1267000,748000,2296000,1310000,30000,0,879000,586000,36000,395000,0,2009,Lucerne Elementary,324422638,5774488
623080,2009,LUCIA MAR UNIFIED,8054743000,31,17,10699,488,,86163000,10589000,22156000,53418000,91505000,54598000,594000,0,36785000,18125000,2410000,51827000,0,2009,Lucia Mar Unified,10874141416,197439910
623160,2009,LYNWOOD UNIFIED,3108861600,21,20,-9,838.4000244140625,,149454000,27002000,105337000,17115000,152387000,79817000,812000,0,56585000,31157000,1845000,42070000,0,2009,Lynwood Unified,,26241185
623340,2009,MADERA UNIFIED,5596754500,13,27,19418,852.4500122070312,,157917000,23735000,104153000,30029000,164900000,88240000,6939000,0,57893000,37238000,3204000,90764000,0,2009,Madera Unified,5324977087,224772044
623430,2009,MAGNOLIA ELEMENTARY,7147615533,11,9,6310,302.4599914550781,,57939000,8756000,35409000,13774000,61518000,35440000,2247000,0,24887000,12497000,408000,8625000,0,2009,Magnolia Elementary,3123814130,63971076
623530,2009,MAMMOTH UNIFIED,7609346802,33,5,1126,63.79999923706055,,15800000,791000,1547000,13462000,12736000,7350000,721000,0,4633000,2826000,282000,16959000,0,2009,Mammoth Unified,4616820425,269163087
623610,2009,MANTECA UNIFIED,2098253200,23,29,23314,911.5700073242188,,191942000,17250000,114109000,60583000,180006000,102138000,10110000,0,69085000,31573000,6106000,72998000,0,2009,Manteca Unified,10815069774,930256534
623700,2009,MANZANITA ELEMENTARY,5308465594,41,1,278,13.800000190734863,,2245000,233000,1539000,473000,2288000,1340000,185000,0,922000,413000,41000,745000,0,2009,Manzanita Elementary,102548190,2053120
623820,2009,MARICOPA UNIFIED,6617698231,42,3,820,41.119998931884766,,4221000,514000,2719000,988000,3779000,1830000,20000,0,1132000,948000,270000,5230000,0,2009,Maricopa Unified,898956325,32344460
623970,2009,MARK TWAIN UNION ELEMENTARY,2097361855,32,3,752,29.36000061035156,,6541000,727000,935000,4879000,5782000,3161000,33000,0,2077000,1045000,357000,8911000,0,2009,Mark Twain Union Elementary,1810723322,41000265
624000,2009,MARK WEST UNION ELEMENTARY,7075242970,21,4,1428,68.11000061035156,,14136000,803000,5507000,7826000,11551000,7838000,6000,0,4887000,1878000,271000,10232000,0,2009,Mark West Union Elementary,2650670269,221418335
624030,2009,MARTINEZ UNIFIED,9253355800,21,9,4045,191.3000030517578,,39058000,3467000,9233000,26358000,36335000,20722000,917000,0,13677000,7721000,940000,22255000,0,2009,Martinez Unified,5571568601,191649241
624090,2009,MARYSVILLE JOINT UNIFIED,5307416000,23,25,10049,474,,94276000,13623000,55681000,24972000,136155000,49947000,42187000,0,34618000,19850000,2708000,88153000,0,2009,Marysville Joint Unified,44696569,
624230,2009,MCFARLAND UNIFIED,6617923081,32,6,3355,156.5,,36541000,6896000,24975000,4670000,34702000,18199000,2824000,0,11344000,7115000,505000,10670000,0,2009,McFarland Unified,1016737741,38915392
624300,2009,MCKINLEYVILLE UNION ELEMENTARY,7078391549,33,4,1165,59.650001525878906,,9522000,1090000,3140000,5292000,13234000,6104000,3724000,0,4380000,2079000,328000,6820000,0,2009,McKinleyville Union Elementary,1132564335,
624480,2009,MENDOCINO UNIFIED,7079375868,42,7,526,38.650001525878906,,10356000,518000,2344000,7494000,16437000,4011000,7254000,0,2739000,1917000,544000,18229000,0,2009,Mendocino Unified,1273512531,16052364
624500,2009,MILPITAS UNIFIED,4086352600,13,14,9802,415.1499938964844,,91135000,7649000,28453000,55033000,89996000,51523000,2713000,0,37598000,15838000,2151000,48340000,0,2009,Milpitas Unified,10479665238,1399723228
624540,2009,MENIFEE UNION ELEMENTARY,9516721851,41,12,9434,414.2600098,,68333000,5256000,47785000,15292000,80278000,42955000,11705000,0,31638000,13383000,2167000,54076000,0,2009,Menifee Union Elementary,7426462927,72681361
624570,2009,MENLO PARK CITY ELEMENTARY,6503217140,21,4,2532,139.47999572753906,,39862000,975000,8808000,30079000,54886000,19552000,23866000,0,14725000,5117000,2575000,104145000,0,2009,Menlo Park City Elementary,9212254413,196222131
624600,2009,MERCED CITY ELEMENTARY,2093856600,13,18,10805,469.1400146484375,,92899000,17614000,64405000,10880000,92755000,55741000,1808000,0,39750000,22062000,564000,1678000,0,2009,Merced City Elementary,5071075409,302212785
624630,2009,MERCED RIVER UNION ELEMENTARY,2093585679,42,2,185,11,,1792000,218000,1011000,563000,1903000,1009000,6000,0,667000,329000,26000,385000,0,2009,Merced River Union Elementary,172217755,26947314
624660,2009,MERCED UNION HIGH,2093856412,13,8,10617,484.7000122070313,,94191000,11076000,64782000,18333000,108369000,49408000,15461000,0,35235000,19716000,1088000,45938000,0,2009,Merced Union High,10813495495,614468256
624720,2009,MESA UNION ELEMENTARY,8054851411,41,3,1217,52.79999923706055,,9232000,658000,5018000,3556000,9780000,5697000,355000,0,3243000,1391000,397000,7755000,0,2009,Mesa Union Elementary,896485120,10839335
624750,2009,MIDDLETOWN UNIFIED,7079874100,42,9,1714,83.69000244140625,,15416000,1642000,6244000,7530000,18254000,8545000,3119000,0,6042000,3453000,536000,14327000,0,2009,Middletown Unified,1574270031,48805631
624780,2009,MIDWAY ELEMENTARY,6617684344,42,1,65,6,,2772000,99000,217000,2456000,2450000,994000,383000,0,488000,555000,326000,6569000,0,2009,Midway Elementary,2795779931,13694916
624870,2009,MILL VALLEY ELEMENTARY,4153897700,21,6,2716,133.6999969482422,,32545000,675000,2530000,29340000,30197000,18336000,1653000,0,12563000,6252000,36000,50442000,0,2009,Mill Valley Elementary,7898607293,81467140
625110,2009,MISSION UNION ELEMENTARY,8316783524,42,1,103,6.800000190734863,,850000,24000,572000,254000,1492000,557000,559000,0,395000,200000,16000,310000,0,2009,Mission Union Elementary,77807553,23009251
625130,2009,MODESTO CITY ELEMENTARY,2095764011,12,27,15188,777.8800048828125,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2009,Modesto City Elementary,6643513897,
625150,2009,MODESTO CITY HIGH,2095764011,12,8,15456,582.3499755859375,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2009,Modesto City High,18975080616,1053208052
625230,2009,MOJAVE UNIFIED,6618244001,42,9,2566,111.5,,25899000,3694000,14790000,7415000,37080000,13119000,12951000,0,9066000,4620000,1391000,43879000,0,2009,Mojave Unified,1196800757,
625320,2009,MONROVIA UNIFIED,6264712000,21,11,6006,267.29998779296875,,56906000,7896000,32337000,16673000,80126000,32739000,22643000,0,24098000,10026000,2444000,79252000,0,2009,Monrovia Unified,4308942345,194131279
625410,2009,MONTE RIO UNION ELEMENTARY,7078652266,32,1,95,4.800000190734863,,1366000,133000,326000,907000,1411000,715000,85000,0,419000,186000,0,0,0,2009,Montecito Union Elementary,6163832518,26272880
625470,2009,MONTEBELLO UNIFIED,3238877900,13,29,32739,1328.689941,,339440000,51192000,224009000,64239000,326008000,174375000,14612000,0,118718000,70086000,4953000,197984000,0,2009,Montebello Unified,11741439904,972829097
625500,2009,MONTECITO UNION ELEMENTARY,8059693249,22,1,392,34.5,,10855000,99000,596000,10160000,9403000,5663000,121000,0,4095000,1532000,148000,3558000,0,2009,Montecito Union Elementary,6163832518,26272880
625690,2009,MOORPARK UNIFIED,8053786300,22,12,7319,295.79998779296875,,59383000,6348000,28286000,24749000,62446000,34092000,4801000,0,23974000,13389000,1239000,49145000,0,2009,Moorpark Unified,5017466565,208802507
625740,2009,MORAGA ELEMENTARY,9253765943,21,4,1723,76.33000183105469,,16967000,792000,3765000,12410000,17510000,10137000,185000,0,6936000,3553000,1021000,9680000,0,2009,Moraga Elementary,2954926241,21596062
625770,2009,MORELAND ELEMENTARY,4088742900,11,6,4135,198.8000030517578,,44206000,3080000,8076000,33050000,46734000,25170000,4028000,0,17065000,7794000,2174000,85131000,0,2009,Moreland Elementary,5621999978,143178194
625800,2009,MORENO VALLEY UNIFIED,9515717572,21,38,36822,1496.3199462890625,,304795000,42363000,214569000,47863000,301393000,181209000,3558000,0,130366000,56233000,8580000,164500000,0,2009,Moreno Valley Unified,9194938488,147066063
625830,2009,MORGAN HILL UNIFIED,4082016023,23,15,9620,412.3699951171875,,83014000,7683000,15156000,60175000,80964000,43906000,4579000,0,29609000,12883000,2841000,97242000,0,2009,Morgan Hill Unified,10524703112,375874400
625860,2009,MORONGO UNIFIED,7603679191,32,17,9545,436.3999938964844,,86289000,12249000,60271000,13769000,86487000,46166000,7581000,0,32545000,16140000,1391000,28945000,0,2009,Morongo Unified,3777742166,82701619
626100,2009,MOUNTAIN EMPIRE UNIFIED,6194739022,42,15,2403,128.17999267578125,,21001000,2636000,10033000,8332000,21714000,11856000,530000,0,7948000,3602000,234000,2513000,0,2009,Mountain Empire Unified,1067184981,76163567
626220,2009,MOUNTAIN VIEW ELEMENTARY,9099472992,12,4,2907,131,,23967000,1492000,13018000,9457000,22926000,14347000,207000,0,11044000,3660000,865000,15515000,0,2009,Mountain View Elementary,2693344851,622920509
626280,2009,MOUNTAIN VIEW WHISMAN,6505263500,13,9,4688,223.07000732421875,,49805000,4061000,6900000,38844000,47358000,28868000,1806000,0,18098000,9706000,2141000,48073000,0,2009,Mountain View Whisman,7722761520,618937847
626310,2009,MOUNTAIN VIEW-LOS ALTOS UNION HIGH,6509404650,13,3,3673,180.1999969482422,,60302000,2236000,6515000,51551000,54887000,30323000,325000,0,21411000,11283000,1779000,39154000,0,2009,Mountain View-Los Altos Union High,25502489169,1637429826
626340,2009,MT. BALDY JOINT ELEMENTARY,9099850991,41,1,105,5.5,,1127000,110000,788000,229000,1170000,568000,149000,0,391000,166000,0,0,0,2009,Mt. Baldy Joint Elementary,41884431,660487
626370,2009,MT. DIABLO UNIFIED,9256828000,21,56,34316,1506.709961,,313766000,35953000,143373000,134440000,323745000,184877000,9560000,0,120930000,61841000,13567000,276533000,0,2009,Mt. Diablo Unified,31366922015,1062841164
626400,2009,MT. PLEASANT ELEMENTARY,4082233700,11,5,2753,125,,84434000,30852000,43963000,9619000,84906000,15491000,569000,0,10622000,5017000,350000,8617000,0,2009,Mt. Pleasant Elementary,1875473522,5814023
626640,2009,NAPA VALLEY UNIFIED,7072533715,13,38,17959,826.4699707,,209654000,15645000,81364000,112645000,239722000,93176000,81449000,0,65685000,23412000,9773000,281735000,0,2009,Napa Valley Unified,17798302895,710508845
626760,2009,NEEDLES UNIFIED,7603263891,41,7,-9,47.65999984741211,,13049000,2396000,5626000,5027000,22435000,6390000,11163000,0,4215000,2701000,374000,12129000,0,2009,Needles Unified,579851340,41693941
626880,2009,NEVADA JOINT UNION HIGH,5302733351,32,9,3791,148.5,,38992000,2618000,9940000,26434000,34076000,19101000,332000,0,13005000,7748000,712000,14740000,0,2009,Nevada Joint Union High,10355769300,226894114
626910,2009,NEW HAVEN UNIFIED,5104711100,21,14,13014,591.2299805,,123196000,12546000,66524000,44126000,146364000,75808000,23692000,0,57952000,19681000,8501000,218784000,0,2009,New Haven Unified,8845519640,505875720
627060,2009,NEWARK UNIFIED,5108184112,21,14,6920,289.6000061035156,,62895000,6676000,30483000,25736000,63520000,35372000,604000,0,27361000,9566000,2578000,71769000,0,2009,Newark Unified,5576139982,264529850
627120,2009,NEWCASTLE ELEMENTARY,9166633307,21,3,463,20.39999961853028,,4227000,143000,1915000,2169000,4252000,1973000,56000,0,1411000,530000,23000,245000,0,2009,Newcastle Elementary,292007794,12239578
627200,2009,NEWMAN-CROWS LANDING UNIFIED,2098622933,32,8,2726,120.3000030517578,,23021000,2689000,12791000,7541000,25034000,14408000,2159000,0,9620000,3212000,496000,21215000,0,2009,Newman-Crows Landing Unified,,36301921
627240,2009,NEWPORT-MESA UNIFIED,7144245000,12,32,21718,959.4699707,,266941000,23261000,42202000,201478000,272424000,138946000,20634000,0,96248000,56923000,5655000,163568000,0,2009,Newport-Mesa Unified,45332484556,2175934736
627450,2009,NORRIS ELEMENTARY,6613877000,21,5,3545,164,,28661000,1552000,18568000,8541000,26697000,14618000,247000,0,10106000,5095000,2069000,6406000,0,2009,Norris Elementary,2251505403,
627480,2009,NORTH COUNTY JOINT UNION ELEMENTARY,8316375574,42,1,743,32.400001525878906,,5609000,444000,1900000,3265000,5440000,3636000,37000,0,2270000,1028000,159000,0,0,2009,North County Joint Union Elementary,651396031,25186927
627510,2009,NORTH COW CREEK ELEMENTARY,5305494488,41,1,278,15.800000190734863,,2402000,249000,1389000,764000,2450000,1671000,16000,0,1171000,525000,0,305000,0,2009,North Cow Creek Elementary,198246688,2354209
627590,2009,NORTH MONTEREY COUNTY UNIFIED,8316333343,22,8,4549,204.5,,41611000,4923000,16865000,19823000,44121000,21588000,841000,0,15661000,8064000,1051000,22885000,0,2009,North Monterey County Unified,3234942896,114714383
627690,2009,NORWALK-LA MIRADA UNIFIED,5628680431,21,27,20685,925.2600098,,220150000,36053000,147135000,36962000,224826000,116789000,10559000,0,82484000,41142000,4408000,168518000,0,2009,Norwalk-La Mirada Unified,9283827193,492552729
627720,2009,NOVATO UNIFIED,4158974201,21,16,7915,382.5,,94053000,5037000,39550000,49466000,73976000,39224000,5321000,0,27053000,11008000,4714000,96705000,0,2009,Novato Unified,9931666578,268097674
627810,2009,OAK GROVE ELEMENTARY,4082278300,11,20,11633,559.9000244140625,,98147000,9451000,48801000,39895000,111351000,59716000,9598000,0,42839000,20216000,3643000,93537000,0,2009,Oak Grove Elementary,11740713205,401680477
627840,2009,OAK GROVE UNION ELEMENTARY,7075450171,41,3,812,40.130001068115234,,7829000,268000,4802000,2759000,8532000,4260000,1562000,0,2730000,1221000,488000,1530000,0,2009,Oak Grove Union Elementary,739280047,26651267
627850,2009,OAK PARK UNIFIED,8187353200,22,7,3814,157.89999389648438,,33006000,2426000,12932000,17648000,38146000,21428000,4418000,0,15347000,6499000,766000,26184000,0,2009,Oak Park Unified,2285418393,11452293
627900,2009,OAK VALLEY UNION ELEMENTARY,5596882908,41,1,446,19,,3301000,395000,2584000,322000,3176000,2010000,48000,0,1330000,732000,0,0,0,2009,Oakley Union Elementary,3219769737,64316450
628050,2009,OAKLAND UNIFIED,5108798582,11,147,46099,2445.969970703125,,516830000,88869000,254985000,172976000,572090000,245944000,63706000,0,137755000,102340000,32019000,733941000,0,2009,Oakland Unified,38016027553,2244310890
628080,2009,OAKLEY UNION ELEMENTARY,9256250700,22,7,4662,211,,37571000,4109000,18478000,14984000,36778000,21531000,2075000,0,15792000,6164000,1044000,23765000,0,2009,Oakley Union Elementary,3219769737,64316450
628270,2009,OJAI UNIFIED,8056404300,21,10,3044,134.14999389648438,,26247000,2821000,8805000,14621000,26332000,15196000,40000,0,11106000,5779000,612000,12365000,0,2009,Ojai Unified,3102245800,32765966
628470,2009,ONTARIO-MONTCLAIR ELEMENTARY,9094592500,12,33,22685,1135.300048828125,,213064000,32722000,141342000,39000000,224615000,129523000,21261000,0,90459000,38718000,1516000,54606000,0,2009,Ontario-Montclair Elementary,9875054727,1037135131
628680,2009,ORCHARD ELEMENTARY,4089440397,11,1,836,38.59999847412109,,10509000,545000,2120000,7844000,15424000,4530000,7300000,0,3053000,1387000,1119000,36874000,0,2009,Orchard Elementary,7013172083,1110988473
628710,2009,ORCUTT UNION ELEMENTARY,8059388900,22,9,4713,181.1000061035156,,35880000,2706000,20269000,12905000,34423000,20441000,1224000,0,15024000,6378000,601000,13175000,0,2009,Orcutt Union Elementary,3383153661,46228910
628860,2009,ORINDA UNION ELEMENTARY,9252544901,21,5,2345,134.33999633789062,,27228000,595000,6000000,20633000,25295000,15228000,758000,0,10601000,4578000,521000,13150000,0,2009,Orinda Union Elementary,4510611520,43993141
628950,2009,ORO GRANDE ELEMENTARY,7602459260,41,4,2029,92.5,,8820000,782000,900000,7138000,16508000,2013000,10233000,0,650000,390000,433000,36412000,0,2009,Oro Grande Elementary,521458514,6456113
